390,  -3.22745,  -3.30405,  -2.15199
391,  -3.14240,  -3.21720,  -2.06972
392,  -3.05838,  -3.13108,  -1.98752
393,  -2.97555,  -3.04592,  -1.90557
394,  -2.89410,  -2.96192,  -1.82403
395,  -2.81418,  -2.87930,  -1.74308
396,  -2.73598,  -2.79825,  -1.66289
397,  -2.65966,  -2.71900,  -1.58364
398,  -2.58540,  -2.64174,  -1.50551
399,  -2.51337,  -2.56670,  -1.42867
400,  -2.44375,  -2.49408,  -1.35331
401,  -2.37662,  -2.42401,  -1.27959
402,  -2.31180,  -2.35633,  -1.20764
403,  -2.24903,  -2.29078,  -1.13759
404,  -2.18804,  -2.22711,  -1.06955
405,  -2.12856,  -2.16507,  -1.00365
406,  -2.07045,  -2.10449,  -0.93999
407,  -2.01407,  -2.04551,  -0.87871
408,  -1.95988,  -1.98836,  -0.81992
409,  -1.90834,  -1.93326,  -0.76376
410,  -1.85993,  -1.88044,  -0.71035
411,  -1.81495,  -1.83002,  -0.65976
412,  -1.77303,  -1.78185,  -0.61182
413,  -1.73362,  -1.73565,  -0.56631
414,  -1.69620,  -1.69118,  -0.52301
415,  -1.66022,  -1.64817,  -0.48169
416,  -1.62529,  -1.60642,  -0.44222
417,  -1.59158,  -1.56601,  -0.40477
418,  -1.55938,  -1.52705,  -0.36962
419,  -1.52901,  -1.48966,  -0.33702
420,  -1.50076,  -1.45398,  -0.30724
421,  -1.47479,  -1.42005,  -0.28040
422,  -1.45075,  -1.38766,  -0.25609
423,  -1.42809,  -1.35651,  -0.23373
424,  -1.40633,  -1.32633,  -0.21277
425,  -1.38493,  -1.29683,  -0.19265
426,  -1.36350,  -1.26776,  -0.17294
427,  -1.34214,  -1.23911,  -0.15386
428,  -1.32104,  -1.21092,  -0.13573
429,  -1.30040,  -1.18321,  -0.11890
430,  -1.28044,  -1.15602,  -0.10372
431,  -1.26129,  -1.12940,  -0.09039
432,  -1.24291,  -1.10342,  -0.07861
433,  -1.22519,  -1.07819,  -0.06795
434,  -1.20800,  -1.05382,  -0.05797
435,  -1.19125,  -1.03040,  -0.04826
436,  -1.17488,  -1.00804,  -0.03852
437,  -1.15899,  -0.98674,  -0.02908
438,  -1.14375,  -0.96654,  -0.02042
439,  -1.12931,  -0.94742,  -0.01301
440,  -1.11586,  -0.92941,  -0.00732
441,  -1.10345,  -0.91247,  -0.00367
442,  -1.09184,  -0.89636,  -0.00169
443,  -1.08068,  -0.88080,  -0.00086
444,  -1.06962,  -0.86551,  -0.00065
445,  -1.05834,  -0.85023,  -0.00054
446,  -1.04658,  -0.83475,  -0.00019
447,  -1.03452,  -0.81929,  -0.00001
448,  -1.02241,  -0.80411,  -0.00057
449,  -1.01053,  -0.78952,  -0.00246
450,  -0.99914,  -0.77581,  -0.00627
451,  -0.98840,  -0.76313,  -0.01238
452,  -0.97811,  -0.75120,  -0.02038
453,  -0.96794,  -0.73959,  -0.02968
454,  -0.95758,  -0.72787,  -0.03969
455,  -0.94671,  -0.71563,  -0.04981
456,  -0.93508,  -0.70254,  -0.05958
457,  -0.92267,  -0.68866,  -0.06900
458,  -0.90955,  -0.67415,  -0.07818
459,  -0.89577,  -0.65918,  -0.08723
460,  -0.88139,  -0.64390,  -0.09626
461,  -0.86648,  -0.62847,  -0.10540
462,  -0.85124,  -0.61307,  -0.11496
463,  -0.83589,  -0.59785,  -0.12524
464,  -0.82065,  -0.58297,  -0.13656
465,  -0.80575,  -0.56860,  -0.14924
466,  -0.79135,  -0.55486,  -0.16352
467,  -0.77744,  -0.54173,  -0.17940
468,  -0.76394,  -0.52918,  -0.19678
469,  -0.75078,  -0.51714,  -0.21558
470,  -0.73790,  -0.50557,  -0.23572
471,  -0.72522,  -0.49442,  -0.25712
472,  -0.71267,  -0.48358,  -0.27966
473,  -0.70018,  -0.47296,  -0.30324
474,  -0.68768,  -0.46246,  -0.32773
475,  -0.67508,  -0.45196,  -0.35305
476,  -0.66233,  -0.44139,  -0.37906
477,  -0.64942,  -0.43071,  -0.40559
478,  -0.63638,  -0.41994,  -0.43244
479,  -0.62322,  -0.40906,  -0.45942
480,  -0.60995,  -0.39808,  -0.48632
481,  -0.59660,  -0.38702,  -0.51304
482,  -0.58330,  -0.37600,  -0.53976
